Topic,Sub-topic,Percent,Visualisation & Analysis,Data processing & Other,Tech image
Current job tech usage,Power BI,5,90,10,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Power_BI_logo.svg/1280px-Power_BI_logo.svg.png
Current job tech usage,Python,4,30,70,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/172px-Python-logo-notext.svg.png
Current job tech usage,R,2,50,50,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/R_logo.svg/1024px-R_logo.svg.png
Current job tech usage,Excel,3,80,20,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Microsoft_Office_Excel_%282019%E2%80%93present%29.svg/1024px-Microsoft_Office_Excel_%282019%E2%80%93present%29.svg.png
Current job tech usage,SQL,1,0,100,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/MySQL_logo.svg/1280px-MySQL_logo.svg.png
Current tasks,Power BI Report Development,5,,,
Current tasks,Data enhancement,4,,,
Current tasks,Data quality checking,2,,,
Current tasks,Training others,1,,,
Current tasks,Analytical support,3,,,
Current learning focus,Python - Object Oriented,3,,,
Current learning focus,SQL - Skills refresher,2,,,
Current learning focus,Power BI - Optimisations,1,,,
Free time,Hanging out with friends,4,,,
Free time,Gaming,3,,,
Free time,Music,1,,,
Free time,Tending to freeloaders (cats),2,,,